grid_x,grid_y,s_nb_trp_total,s_nb_trp
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
23,10,266,1
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,1,0,0
5,9,269,1
15,0,0,0
16,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
23,10,266,1
9,0,0,0
10,0,0,0
17,0,0,0
11,0,0,0
18,0,0,0
12,0,0,0
19,0,0,0
20,0,0,0
13,1,0,0
21,0,0,0
5,9,269,1
22,0,0,0
15,0,0,0
23,0,0,0
16,0,0,0
24,0,0,0
17,0,0,0
25,0,0,0
18,0,0,0
0,1,0,0
19,0,0,0
1,1,0,0
20,0,0,0
2,1,0,0
21,0,0,0
3,1,0,0
22,0,0,0
23,0,0,0
4,1,0,0
5,1,0,0
24,0,0,0
25,0,0,0
6,1,0,0
0,1,0,0
7,1,0,0
8,1,0,0
1,1,0,0
2,1,0,0
9,1,0,0
10,1,0,0
3,1,0,0
12,1,0,0
4,1,0,0
12,1,0,0
5,1,0,0
13,1,0,0
6,1,0,0
7,1,0,0
14,1,16,1
14,2,16,1
8,1,0,0
9,1,0,0
16,1,0,0
10,1,0,0
17,1,0,0
18,1,0,0
12,1,0,0
12,5,266,1
12,1,0,0
13,1,0,0
20,1,0,0
14,1,17,1
21,1,0,0
14,2,17,1
22,1,0,0
16,1,0,0
23,1,0,0
17,1,0,0
24,1,0,0
18,1,0,0
25,1,0,0
0,2,0,0
12,5,266,1
1,2,0,0
20,1,0,0
2,2,0,0
21,1,0,0
22,1,0,0
3,2,0,0
23,1,0,0
13,3,453,1
24,1,0,0
5,2,0,0
25,1,0,0
6,2,0,0
7,2,0,0
0,2,0,0
1,2,0,0
8,2,0,0
2,2,0,0
9,2,0,0
3,2,0,0
10,2,0,0
13,3,453,1
11,2,0,0
5,2,0,0
13,2,3,1
6,2,0,0
14,2,0,0
14,2,0,0
7,2,0,0
8,2,0,0
15,1,0,0
9,2,0,0
16,2,0,0
10,2,0,0
17,2,0,0
18,2,0,0
11,2,0,0
13,2,2,1
19,2,0,0
20,2,0,0
14,2,0,0
21,2,0,0
14,2,0,0
15,1,0,0
22,2,0,0
23,2,0,0
16,2,0,0
24,2,0,0
17,2,0,0
25,2,0,0
18,2,0,0
19,2,0,0
0,3,0,0
1,3,0,0
20,2,0,0
2,3,0,0
21,2,0,0
22,2,0,0
3,3,0,0
23,2,0,0
4,3,0,0
24,2,0,0
5,3,0,0
25,2,0,0
6,3,0,0
7,3,0,0
0,3,0,0
8,3,0,0
1,3,0,0
9,3,0,0
2,3,0,0
10,3,0,0
3,3,0,0
11,3,0,0
4,3,0,0
12,3,0,0
5,3,0,0
13,3,3,1
6,3,0,0
14,3,0,0
7,3,0,0
15,3,0,0
8,3,0,0
16,3,0,0
17,3,0,0
9,3,0,0
18,3,0,0
10,3,0,0
19,3,0,0
11,3,0,0
20,3,0,0
12,3,0,0
21,3,0,0
13,3,2,1
22,3,0,0
14,3,0,0
23,3,0,0
15,3,0,0
16,3,0,0
24,3,0,0
17,3,0,0
25,3,0,0
18,3,0,0
0,4,0,0
19,3,0,0
1,4,0,0
20,3,0,0
2,4,0,0
21,3,0,0
3,4,0,0
22,3,0,0
4,4,0,0
5,4,0,0
23,3,0,0
24,3,0,0
6,4,0,0
7,4,0,0
25,3,0,0
0,4,0,0
8,4,0,0
1,4,0,0
9,4,0,0
2,4,0,0
10,4,0,0
3,4,0,0
11,4,0,0
12,4,204,1
4,4,0,0
13,4,3,1
5,4,0,0
6,4,0,0
14,4,69,1
14,4,67,1
7,4,0,0
